Project,FPGA_Part,FPGA_Family,Technology,Strategy,Clock_Constraint_ns,LUTs,FFs,Slices,DSPs,BRAMs,WNS_ns,Data_Path_Delay_ns,Logic_Delay_ns,Route_Delay_ns,Levels,Fmax_MHz,Synth_Time_s,Impl_Time_s,Total_Time_s,Status
mult_mod_3329_3x3_arc_1_2_,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,290,0,88,0,0,N/A,16.074,6.283,9.791,27,62.21,42,65,119,OK
mult_mod_3329_3x3_arc_1_2_,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,288,0,84,0,0,N/A,15.735,6.194,9.541,24,63.55,42,69,123,OK
mult_mod_3329_3x3_arc_1_2_,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,299,0,87,0,0,N/A,15.068,5.766,9.302,25,66.37,42,63,118,OK
mult_mod_3329_2x2_arc_3_1_4,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,318,0,92,0,0,N/A,15.637,5.942,9.695,26,63.95,42,68,121,OK
mult_mod_3329_2x2_arc_3_1_4,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,291,0,85,0,0,N/A,15.737,6.283,9.454,29,63.54,43,68,123,OK
mult_mod_3329_2x2_arc_3_1_4,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,376,0,111,0,0,N/A,15.759,5.825,9.933,26,63.46,42,65,122,OK
mult_mod_3329_2x2_arc_3_2_3,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,306,0,90,0,0,N/A,14.811,5.29,9.521,22,67.52,43,65,121,OK
mult_mod_3329_2x2_arc_3_2_3,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,273,0,80,0,0,N/A,15.495,5.732,9.763,28,64.54,43,64,119,OK
mult_mod_3329_2x2_arc_3_2_3,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,373,0,105,0,0,N/A,14.688,5.226,9.462,24,68.08,42,69,126,OK
mult_mod_3329_2x2_arc_3_2_4_st_exact_6_lut,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,319,0,86,0,0,N/A,14.338,5.383,8.955,23,69.74,42,67,121,OK
mult_mod_3329_2x2_arc_3_2_4_st_exact_6_lut,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,291,0,88,0,0,N/A,15.151,5.593,9.558,23,66,44,65,121,OK
mult_mod_3329_2x2_arc_3_2_4_st_exact_6_lut,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,381,0,107,0,0,N/A,14.598,5.274,9.324,23,68.5,42,63,118,OK
mult_mod_3329_2x2_arc_3_1_3_st,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,313,0,89,0,0,N/A,15.875,5.659,10.216,24,62.99,44,65,121,OK
mult_mod_3329_2x2_arc_3_1_3_st,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,291,0,85,0,0,N/A,15.951,5.968,9.983,27,62.69,45,70,129,OK
mult_mod_3329_2x2_arc_3_1_3_st,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,381,0,111,0,0,N/A,15.165,5.23,9.935,25,65.94,42,68,125,OK
mult_mod_3329_3x3_arc_2_new_st_exact,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,292,0,88,0,0,N/A,13.735,5.764,7.972,22,72.81,42,68,121,OK
mult_mod_3329_3x3_arc_2_new_st_exact,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,276,0,81,0,0,N/A,13.746,5.461,8.285,22,72.75,41,62,114,OK
mult_mod_3329_3x3_arc_2_new_st_exact,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,268,0,78,0,0,N/A,13.265,5.506,7.759,18,75.39,43,67,122,OK
mult_mod_3329_2x2_arc_4_4,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,287,0,87,0,0,N/A,17.14,6.603,10.538,29,58.34,40,62,113,OK
mult_mod_3329_2x2_arc_4_4,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,254,0,75,0,0,N/A,17.545,7.138,10.407,32,57,41,67,119,OK
